exp_UID,plot_UID,gen_id,genotype_name,lot,range_lot,row_lot,plot,plant_id,plant_UID,set
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,6,FPWW0340148_6,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,7,FPWW0340148_7,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,8,FPWW0340148_8,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,9,FPWW0340148_9,SFH
FPWW034,FPWW0340148,24,ZENITH,1,5,9,148,10,FPWW0340148_10,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,1,FPWW0340177_1,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,2,FPWW0340177_2,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,3,FPWW0340177_3,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,4,FPWW0340177_4,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,5,FPWW0340177_5,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,6,FPWW0340177_6,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,7,FPWW0340177_7,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,8,FPWW0340177_8,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,9,FPWW0340177_9,SFH
FPWW034,FPWW0340177,1,CH CLARO,1,5,10,177,10,FPWW0340177_10,SFH
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,1,FPWW0340104_1,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,2,FPWW0340104_2,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,3,FPWW0340104_3,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,4,FPWW0340104_4,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,5,FPWW0340104_5,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,6,FPWW0340104_6,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,7,FPWW0340104_7,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,8,FPWW0340104_8,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,9,FPWW0340104_9,SFE
FPWW034,FPWW0340104,663,CAMINADA,1,6,6,104,10,FPWW0340104_10,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,1,FPWW0340113_1,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,2,FPWW0340113_2,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,3,FPWW0340113_3,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,4,FPWW0340113_4,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,5,FPWW0340113_5,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,6,FPWW0340113_6,SFE
FPWW034,FPWW0340113,473,PIZNAIR,1,6,7,113,7,FPWW0340113_7,SFE
