"exp_UID","plot_UID","gen_id","genotype_name","lot","range_lot","row_lot","plot","plant_id","plant_UID","set","unique"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,1,"FPWW0360300_1","SFE","C201"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,2,"FPWW0360300_2","SFE","C202"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,3,"FPWW0360300_3","SFE","C203"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,4,"FPWW0360300_4","SFE","C204"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,5,"FPWW0360300_5","SFE","C205"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,6,"FPWW0360300_6","SFE","C206"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,7,"FPWW0360300_7","SFE","C207"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,8,"FPWW0360300_8","SFE","C208"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,9,"FPWW0360300_9","SFE","C209"
"FPWW036","FPWW0360300",591,"Costello",3,13,17,300,10,"FPWW0360300_10","SFE","C210"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,1,"FPWW0360315_1","SFE","C211"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,2,"FPWW0360315_2","SFE","C212"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,3,"FPWW0360315_3","SFE","C213"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,4,"FPWW0360315_4","SFE","C214"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,5,"FPWW0360315_5","SFE","C215"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,6,"FPWW0360315_6","SFE","C216"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,7,"FPWW0360315_7","SFE","C217"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,8,"FPWW0360315_8","SFE","C218"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,9,"FPWW0360315_9","SFE","C219"
"FPWW036","FPWW0360315",584,"Dagmar",3,11,18,315,10,"FPWW0360315_10","SFE","C220"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,1,"FPWW0360299_1","SFE","C221"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,2,"FPWW0360299_2","SFE","C222"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,3,"FPWW0360299_3","SFE","C223"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,4,"FPWW0360299_4","SFE","C224"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,5,"FPWW0360299_5","SFE","C225"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,6,"FPWW0360299_6","SFE","C226"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,7,"FPWW0360299_7","SFE","C227"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,8,"FPWW0360299_8","SFE","C228"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,9,"FPWW0360299_9","SFE","C229"
"FPWW036","FPWW0360299",476,"DIAVEL",3,12,17,299,10,"FPWW0360299_10","SFE","C230"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,1,"FPWW0360331_1","SFE","C231"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,2,"FPWW0360331_2","SFE","C232"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,3,"FPWW0360331_3","SFE","C233"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,4,"FPWW0360331_4","SFE","C234"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,5,"FPWW0360331_5","SFE","C235"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,6,"FPWW0360331_6","SFE","C236"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,7,"FPWW0360331_7","SFE","C237"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,8,"FPWW0360331_8","SFE","C238"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,9,"FPWW0360331_9","SFE","C239"
"FPWW036","FPWW0360331",19111881,"EKONOM",3,8,19,331,10,"FPWW0360331_10","SFE","C240"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,1,"FPWW0360306_1","SFE","C241"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,2,"FPWW0360306_2","SFE","C242"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,3,"FPWW0360306_3","SFE","C243"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,4,"FPWW0360306_4","SFE","C244"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,5,"FPWW0360306_5","SFE","C245"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,6,"FPWW0360306_6","SFE","C246"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,7,"FPWW0360306_7","SFE","C247"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,8,"FPWW0360306_8","SFE","C248"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,9,"FPWW0360306_9","SFE","C249"
"FPWW036","FPWW0360306",19111917,"EXSAL",3,19,17,306,10,"FPWW0360306_10","SFE","C250"
"FPWW036","FPWW0360339",11116496,"FIER",3,16,19,339,1,"FPWW0360339_1","SFE","C251"
"FPWW036","FPWW0360339",11116496,"FIER",3,16,19,339,2,"FPWW0360339_2","SFE","C252"
"FPWW036","FPWW0360339",11116496,"FIER",3,16,19,339,3,"FPWW0360339_3","SFE","C253"
"FPWW036","FPWW0360339",11116496,"FIER",3,16,19,339,4,"FPWW0360339_4","SFE","C254"
"FPWW036","FPWW0360339",11116496,"FIER",3,16,19,339,5,"FPWW0360339_5","SFE","C255"
